station_id,station_name,station_lat,station_lon
247,Charlotte Square,55.95233546161639,-3.2071011721072864
259,St Andrew Square,55.95474881217642,-3.192773668658788
262,Canonmills,55.96280408759764,-3.196283585062929
255,Kings Buildings 4,55.92200087060626,-3.176901814164921
253,Kings Building 2,55.92320215516664,-3.1716462453634904
252,Kings Buildings 1,55.92418540667696,-3.173830830087809
254,Kings Building 3,55.92347880784664,-3.1753845849070785
264,Pollock Halls,55.93996346972372,-3.1715859343115653
246,Royal Commonwealth Pool,55.93900024788877,-3.173923554315593
265,Meadows East,55.939809466328285,-3.182738850746432
183,Waverley Bridge,55.95134439884462,-3.191420998989884
189,City Chambers,55.95010933017899,-3.190257770093808
257,Portobello,55.957004308392506,-3.1168881187301167
267,Launch Day Event,55.94255133939095,-3.191380756192416
261,Brunswick Place,55.960929747664,-3.181005314780577
171,George Square,55.94308406301113,-3.1883110727224
248,Bristo Square,55.94600418964078,-3.188665492872815
250,Victoria Quay,55.97763778772698,-3.174115590621568
249,Fountainbridge,55.94335692764551,-3.2092475016246453
225,Waverley Court,55.95173449698344,-3.1841785354060903
260,Lauriston Place,55.94477165233548,-3.197265856419562
251,Waverley Station,55.952641035774384,-3.187526919462357
258,Stockbridge,55.95856558589723,-3.208070182227744
266,Victoria Park,55.97424715757633,-3.1944823421042656
256,St Andrews House,55.95316433242384,-3.181682340931843
241,Depot,55.97237325804326,-3.1558331507669664
273,Shrubhill,55.96253727246136,-3.179472670388236
275,Riego Street,55.945159896857184,-3.203678290717108
277,"Waitrose, Comely Bank",55.95950417668882,-3.2234280553759618
284,Leith Links,55.96919856910954,-3.1668846170233564
285,Ocean Terminal,55.981286014792985,-3.176351263805259
289,Castle Street,55.95150073734976,-3.2031839065252825
290,Bruntsfield,55.93715871276677,-3.206435329645956
297,Royal Infirmary,55.92429517498461,-3.133510335817164
296,Castle Terrace,55.94676648672239,-3.2020378290551434
266,Victoria Park,55.975188943018544,-3.191030339257168
347,Simon Square,55.944867799682754,-3.182670511194715
341,Warrender Park Road,55.938363058645024,-3.198031182386103
343,Thirlestane Road,55.93536510821717,-3.198671326704016
351,Dalry Road Co-op,55.94271471556419,-3.221430982426
342,Whitehouse Loan,55.93632904938287,-3.2022945366760496
353,Gibson Terrace,55.94049262199568,-3.217144191708712
350,Dalry Road Lidl,55.9417543014448,-3.2225242918653976
352,Dundee Terrace,55.93972942415463,-3.220602995527315
357,Macdonald Road,55.96399515097124,-3.1851887678931234
358,Leith Walk,55.96503980507732,-3.1766864147848537
344,Marchmont Crescent,55.93639749674367,-3.194252202886105
356,East London Street,55.95994339132352,-3.187329201962484
349,Orchard Brae House,55.95508276879095,-3.2236342639564555
355,Inverleith Row,55.96414559786725,-3.2020735606114386
354,South Trinity Road,55.97126891219085,-3.20781571753048
345,Colinton Road,55.93403480186952,-3.2108032288005006
340,Meadow Place,55.94030045743447,-3.194591930765
346,Morningside Road,55.92798551356313,-3.209738736635245
365,Novotel,55.94489645971535,-3.1996352215008983
359,Causewayside,55.93642987756881,-3.1801149035579783
366,Newhaven Road / Dudley Gardens,55.97592738157906,-3.191317916099706
366,Newhaven Road / Dudley Gardens,55.97592062794979,-3.1913460792943624
259,St Andrew Square,55.95490573198223,-3.192443756949956
366,Dudley Gardens,55.97592062794979,-3.1913460792943624
250,Victoria Quay,55.97761715254634,-3.174126319457628
648,Western General,55.96345848770889,-3.23280956008216
820,Newkirkgate,55.97070402016615,-3.171623996101516
860,Pollock Halls Virtual,55.94034806856411,-3.172108169850503
868,Dundas Street,55.96094446922441,-3.2013869942491056
870,Hillside Crescent 2,55.957803310852015,-3.1754794362148004
862,Cramond Foreshore,55.98002374180832,-3.300622016981152
345,Colinton Road,55.93339776573361,-3.212428647463525
866,Comely Bank Road,55.95940686974708,-3.2156598206622675
869,Hillside Crescent 1,55.95791033111316,-3.180692837632364
887,Roseburn Street,55.94446626439512,-3.234541218248978
882,EICC,55.94604282192561,-3.210484908343801
888,Crichton Street,55.94474957118208,-3.186542135633317
873,Corstorphine Road,55.94174288122498,-3.2714843607752755
881,Tollcross,55.94428069681837,-3.20296435923774
877,Murrayfield Avenue,55.94632179137708,-3.236542329964095
867,Henderson Row,55.96026010209808,-3.203912595837096
872,St. John's Road 2,55.94294485385191,-3.2907940692573447
889,Murrayfield Tram,55.9419563895648,-3.237802024128314
885,Wester Coates Terrace,55.9456092021698,-3.2317156191592176
863,Gamekeeper's Road,55.96953169937321,-3.3073054252522525
879,Gladstone Terrace,55.93802439880083,-3.1849792102048013
878,Balgreen,55.93893772779211,-3.2511733330509287
865,Craigleith Road,55.95661859471628,-3.2378029682010947
876,Murrayfield,55.94476686576929,-3.243687888944919
874,Edinburgh Zoo,55.942221825711776,-3.268697484588188
864,Whitehouse Road,55.96152699979099,-3.3061141754915297
875,Corstorphine Road - Pinkhill,55.942364438846695,-3.265384123501235
871,St. John's Road 1,55.94274592050117,-3.281623013233002
880,Logie Green Road,55.96403450946105,-3.195673725279903
891,West Newington Place,55.93821225851473,-3.17897226737648
883,Queensferry Road,55.95454278693572,-3.23472817617926
884,IGMM,55.96248692705142,-3.232031328469361
890,West Crosscauseway,55.94386198333096,-3.184972223259024
901,Dunbar’s Close Garden,55.951813501278245,-3.1787259116608766
874,Edinburgh Zoo,55.94211968183478,-3.2692795239444195
870,Hillside Crescent 2,55.957792800284125,-3.1757986190875727
965,Sustrans - walk cycle event,55.945452213917534,-3.2196795574359385
964,Corn Exchange - walk cycle event,55.92701363904687,-3.2485567753103624
