,start,end,intensity,start_station_id,end_station_id
0,0,0,0.06004953729863769,171,171
1,0,1,0.18744732442445236,171,183
2,0,2,0.022561920144224073,171,189
3,0,3,0.03154990442885917,171,225
4,0,4,0.05713691263142221,171,246
5,0,5,0.03377528170573974,171,247
6,0,6,0.13218879391758395,171,248
7,0,7,0.09430073211155092,171,249
8,0,8,0.026731096571411966,171,250
9,0,9,4.511970595496563e-07,171,251
10,0,10,0.051766855450688376,171,252
11,0,11,0.1271352262223861,171,253
12,0,12,0.06828460903416762,171,254
13,0,13,0.032454757061916716,171,256
14,0,14,0.05149825983721356,171,258
15,0,15,0.15479630567162586,171,259
16,0,16,0.0407508421372282,171,260
17,0,17,0.02185526552581778,171,262
18,0,18,0.4300044114074904,171,264
19,0,19,0.5347438689373214,171,265
20,0,20,0.10065836294521484,171,289
21,0,21,0.028459785321730977,171,296
22,0,22,0.004281357177971757,171,349
23,0,23,0.025885811015219855,171,358
24,0,24,0.030921410768226402,171,1017
25,0,25,0.04146577891074383,171,1019
26,0,26,0.5778841310682677,171,1024
27,0,27,0.1426607584092568,171,1025
28,0,28,0.05394665337898037,171,1028
29,0,29,0.0032094577002686354,171,1038
30,0,30,0.0794110043108685,171,1039
31,0,31,0.11728854617081953,171,1042
32,0,32,0.04950660686799593,171,1050
33,0,33,0.06079773915839025,171,1051
34,0,34,0.09917557795033961,171,1052
35,0,35,0.03725826022863316,171,1090
36,0,36,0.12140426489312771,171,1091
37,0,37,0.08346310921576257,171,1092
38,0,38,0.019778712100719176,171,1093
39,0,39,0.15485077503911776,171,1096
40,0,40,0.08022338878586682,171,1097
41,0,41,0.05195702845913969,171,1098
42,0,42,0.046831686639128435,171,1102
43,0,43,0.02302236931146278,171,1720
44,0,44,0.20067644148533795,171,1721
45,0,45,0.0009437429154971106,171,1722
46,0,46,0.011833360937211742,171,1725
47,0,47,0.08164143649977035,171,1726
48,0,48,0.08239809437836365,171,1727
49,0,49,1.5116070074933063,171,1728
50,0,50,0.03497622983032775,171,1729
51,0,51,0.01112346835258821,171,1730
52,0,52,0.08791718569022719,171,1731
53,0,53,0.06278730727905764,171,1737
54,0,54,0.01726821804861745,171,1738
55,0,55,0.07669635129969972,171,1739
56,0,56,0.09519418956925325,171,1744
57,0,57,0.014161419449833948,171,1745
58,0,58,0.047253643577164654,171,1748
59,0,59,0.023834553551157427,171,1749
60,0,60,0.009060923046717437,171,1753
61,0,61,0.013767032063986509,171,1754
62,0,62,0.004501811893402188,171,1756
63,0,63,0.08332938950324834,171,1757
64,0,64,0.049236114850748185,171,1758
65,0,65,0.0602291637798262,171,1763
66,0,66,0.01456219838090881,171,1765
67,0,67,0.20752423702813724,171,1767
68,0,68,0.06156805519408385,171,1768
69,0,69,0.051521408023222956,171,1769
70,0,70,0.00980158915324685,171,1770
71,0,71,0.021723816836735136,171,1798
72,0,72,0.01820920656503114,171,1807
73,0,73,0.00764906463229323,171,1809
74,0,74,0.07422159686681766,171,1813
75,0,75,0.18115153440408285,171,1814
76,0,76,0.010011010433397454,171,1815
77,0,77,0.3747674503595961,171,1818
78,0,78,0.030224142784359868,171,1819
79,0,79,0.0028100615219181536,171,1820
80,0,80,0.0939749904503934,171,1821
81,0,81,0.016005170324606705,171,1822
82,0,82,0.13780694366038793,171,1823
83,0,83,0.0008276527424074585,171,1824
84,0,84,0.000107136530597403,171,1860
85,0,85,0.0,171,1865
86,0,86,0.0012008272136431576,171,1866
87,0,87,0.002296288369998934,171,1868
88,0,88,1.1105421448744756e-46,171,1869
89,0,89,5.554073904560947e-19,171,1870
90,0,90,0.0,171,1871
91,0,91,2.0600824131833877e-68,171,1874
92,0,92,1.2889148017158815e-39,171,1877
93,0,93,0.048634122016085225,171,2259
94,0,94,0.07923209544251608,171,2263
95,0,95,0.03080730109481496,171,2265
96,0,96,0.05250018766177462,171,2268
97,1,0,0.19822165113405976,183,171
98,1,1,0.6187577759890526,183,183
99,1,2,0.07447619523696745,183,189
100,1,3,0.1041452512432952,183,225
101,1,4,0.1886071678817077,183,246
102,1,5,0.11149115227873072,183,247
103,1,6,0.4363510889593132,183,248
104,1,7,0.3112837777473822,183,249
105,1,8,0.08823851668761304,183,250
106,1,9,1.4893874316795872e-06,183,251
107,1,10,0.1708807764899538,183,252
108,1,11,0.419669419495682,183,253
109,1,12,0.2254053662808741,183,254
110,1,13,0.10713214158460908,183,256
111,1,14,0.16999415074085664,183,258
112,1,15,0.5109777806793927,183,259
113,1,16,0.134517259864516,183,260
114,1,17,0.072143550365028,183,262
115,1,18,1.4194311606470278,183,264
116,1,19,1.765172845669467,183,265
117,1,20,0.3322701189889868,183,289
118,1,21,0.09394486437653823,183,296
119,1,22,0.014132626612786128,183,349
120,1,23,0.08544825541057947,183,358
121,1,24,0.10207061325702146,183,1017
122,1,25,0.1368772438723518,183,1019
123,1,26,1.9075775064651856,183,1024
124,1,27,0.4709187173797194,183,1025
125,1,28,0.1780762215162129,183,1028
126,1,29,0.010594319843437061,183,1038
127,1,30,0.26213325032683304,183,1039
128,1,31,0.3871658355246093,183,1042
129,1,32,0.16341976636082364,183,1050
130,1,33,0.2006914421548324,183,1051
131,1,34,0.327375491933007,183,1052
132,1,35,0.12298835583317118,183,1090
133,1,36,0.4007516947574963,183,1091
134,1,37,0.2755091223310083,183,1092
135,1,38,0.06528891222611814,183,1093
136,1,39,0.5111575823639048,183,1096
137,1,40,0.26481490616023273,183,1097
138,1,41,0.17150853166396754,183,1098
139,1,42,0.15458993805122165,183,1102
140,1,43,0.07599612358777974,183,1720
